"origin","destination","arr_delay_time","num_of_flights","flight_time","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
"MIA","PHX",17.8355,385,272.4562,1972.0000,19.2733,3.5963,11.9379,0.0994,15.6957
"MSY","PHX",0.4884,2899,183.2646,1301.0000,1.6635,0.4796,1.0610,0.0498,4.5208
"OAK","PHX",5.6117,14073,92.7206,646.0000,2.6634,0.1457,0.9169,0.0998,5.2287
"OKC","PHX",-0.2391,6466,122.5681,833.0000,1.1392,0.1018,0.8984,0.0295,4.4888
"OMA","PHX",1.6005,5913,146.9168,1037.0000,1.5775,0.1529,1.3455,0.0181,7.1257
"ONT","PHX",5.4045,24821,52.0007,325.0000,1.2912,0.2433,1.3681,0.0296,4.7271
"ORD","PHX",13.7089,22712,196.6166,1440.0000,5.5209,1.2745,4.7835,0.0027,8.9029
"PDX","PHX",1.3678,5641,132.5164,1009.0000,2.0728,0.1614,0.9067,0.0550,4.2581
"PHL","PHX",-3.1904,2730,283.3610,2075.0000,2.2259,0.6120,4.6623,0.0196,5.8585
"PIT","PHX",-6.4237,1186,248.6653,1813.0000,1.2752,0.1488,2.0481,0.0459,3.8658
"PVD","PHX",-9.7021,3921,314.4069,2277.0000,1.0975,0.5828,2.2645,0.0480,1.4919
"RDU","PHX",-5.7866,3817,262.7587,1891.0000,1.0610,0.2414,1.1119,0.0039,2.5923
"RNO","PHX",2.1822,6471,83.7768,601.0000,1.1886,0.1705,1.0655,0.0068,4.2277
"SAN","PHX",6.8717,28939,50.5393,304.0000,1.4829,0.2134,1.4427,0.0197,6.2542
"SAT","PHX",3.3403,7767,122.9533,843.0000,1.2517,0.1360,0.8637,0.0366,6.4647
"SDF","PHX",-4.9061,2191,212.5712,1506.0000,1.1302,0.3376,1.3905,0.0215,3.3178
"SEA","PHX",2.5089,5761,143.9923,1107.0000,2.3314,0.1417,1.1644,0.0629,4.8568
"SFO","PHX",6.1351,10724,91.7006,651.0000,3.8877,0.1111,1.7715,0.0059,7.5949
"SJC","PHX",2.6486,11342,87.6104,621.0000,1.5478,0.1682,0.6870,0.0699,5.2482
"SLC","PHX",2.7566,19198,74.7239,507.0000,1.5936,0.1792,1.5093,0.0081,4.7852
"SMF","PHX",3.3569,13753,89.8839,647.0000,1.5860,0.0644,0.7964,0.0453,5.0185
"SNA","PHX",5.2374,14431,53.5771,338.0000,1.1953,0.2295,1.3728,0.1021,4.9734
"STL","PHX",-2.0637,12901,178.8250,1262.0000,1.5011,0.2103,1.3530,0.0069,4.9796
"TPA","PHX",-0.4126,2191,249.0165,1788.0000,2.1361,1.2647,1.5431,0.0000,4.0431
"TUL","PHX",-1.8054,6302,136.6385,935.0000,1.0341,0.2419,0.9032,0.0231,2.9470
"TUS","PHX",-0.5987,1399,27.6259,110.0000,4.4335,0.0777,1.6851,0.0000,0.0000
