"origin","destination","arr_delay_time","num_of_flights","flight_time","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
"LAX","JAC",-1.0000,18,113.4444,784.0000,4.3333,0.0000,12.6667,0.0000,5.8333
"LAX","JAX",5.4105,286,244.2667,2153.0000,3.9930,0.0175,2.5280,0.0000,2.6503
"LAX","JFK",6.5448,47292,287.5481,2475.0000,3.8360,0.1249,7.1501,0.0578,2.8488
"LAX","KOA",4.2346,6969,312.5240,2504.0000,5.8606,0.0631,2.3525,0.1032,4.0289
"LAX","LAS",8.2554,49173,44.5731,236.0000,2.6940,0.3950,2.5143,0.0377,6.1939
"LAX","LGA",0.2143,28,283.7500,2469.0000,2.7143,0.0000,0.2500,0.0000,7.4643
"LAX","LIH",3.5080,5852,326.9789,2615.0000,6.8663,0.0711,2.4006,0.1383,2.6794
"LAX","MCI",3.4014,9090,167.5384,1363.0000,2.5787,0.0654,1.2734,0.0494,4.6308
"LAX","MCO",3.4608,11523,255.1099,2217.0000,3.2007,0.0733,2.4657,0.0485,3.4700
"LAX","MDW",0.9324,12019,209.0126,1750.0000,2.1754,0.2009,1.6093,0.0409,3.9738
"LAX","MIA",7.2156,13524,262.0281,2342.0000,6.5166,0.2317,3.9362,0.1040,2.3040
"LAX","MSY",5.3556,5355,194.3566,1671.0000,3.8067,0.0577,2.1841,0.0999,5.9731
"LAX","OAK",5.0700,46131,55.7150,337.0000,1.5520,0.0218,0.7132,0.0263,5.6983
"LAX","OGG",4.2879,12364,308.3152,2486.0000,6.4476,0.0754,2.3682,0.1094,3.7985
"LAX","OKC",NULL,1,NULL,1187.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"LAX","ONT",7.0000,1,23.0000,47.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"LAX","ORD",9.7278,50515,208.2095,1745.0000,3.8538,0.1184,8.5151,0.0749,3.8914
"LAX","PDX",3.8407,6822,117.6598,834.0000,2.3248,0.0429,1.1699,0.0565,4.9848
"LAX","PHL",4.4583,8078,280.3912,2401.0000,3.0761,0.6329,5.6871,0.0420,2.9698
"LAX","PHX",7.4441,29063,57.9561,370.0000,2.1727,0.2679,1.2535,0.0398,6.2727
"LAX","RDU",1.4033,486,256.0665,2239.0000,3.5270,0.3174,2.0187,0.0000,1.4979
"LAX","RNO",6.6648,6317,60.2649,390.0000,2.3578,0.1466,0.7435,0.0387,5.8980
"LAX","RSW",NULL,1,NULL,2238.0000,NULL,NULL,NULL,NULL,NULL
"LAX","SAN",18.1429,15,27.0000,109.0000,4.0000,0.0000,0.8000,0.0000,12.4000
"LAX","SAT",5.6832,3439,146.1431,1210.0000,3.8057,0.0367,1.2152,0.0697,5.4292
"LAX","SEA",3.3467,9792,134.6702,954.0000,2.3642,0.0362,1.8619,0.0803,5.0979
"LAX","SFO",9.2220,53631,55.5519,337.0000,2.6493,0.2128,6.9647,0.0467,6.4776
"LAX","SJC",5.5570,28255,49.5371,308.0000,1.5052,0.0488,0.7455,0.0263,6.2223
"LAX","SJU",1.0500,823,373.9110,3386.0000,5.0428,0.0939,1.9710,0.0608,1.8094
"LAX","SLC",4.5609,21755,84.0710,590.0000,2.7024,0.0777,1.3057,0.0375,4.3762
"LAX","SMF",7.3722,22194,60.3877,373.0000,2.3419,0.0358,0.6842,0.0241,7.2359
"LAX","STL",2.0119,10902,189.0461,1593.0000,3.3675,0.0715,1.7887,0.0398,3.9026
"LAX","TPA",2.0488,3677,246.0071,2158.0000,2.6045,0.0061,1.9611,0.0212,3.4264
"LAX","TUS",7.2747,11326,63.0330,451.0000,1.6532,0.0190,0.7651,0.0561,8.0073
"ORD","ABQ",12.5041,4901,153.9876,1118.0000,4.0555,1.0685,4.3247,0.0009,8.8710
"ORD","ALB",13.9284,4787,91.3133,723.0000,4.6603,0.8941,3.8623,0.0000,12.1552
"ORD","ANC",17.4088,1712,358.2164,2846.0000,6.2132,1.2591,6.6645,0.0000,7.0732
"ORD","ATL",13.3814,40707,89.5085,606.0000,3.1416,0.7119,8.3323,0.0051,7.7656
"ORD","AUS",10.9117,11922,134.7071,978.0000,4.2160,1.2546,3.8492,0.0000,8.6182
"ORD","BDL",11.2904,19015,98.0493,783.0000,3.9196,0.9809,3.5331,0.0008,8.6719
"ORD","BNA",13.9682,3876,60.8670,409.0000,3.6389,1.3621,3.6996,0.0000,11.2663
"ORD","BOI",26.9798,2175,201.5804,1437.0000,6.9061,1.7331,4.8357,0.0000,19.7969
"ORD","BOS",13.1886,43964,109.2771,867.0000,3.6193,0.9424,7.5231,0.0026,9.0095
"ORD","BTV",16.4709,2949,96.1459,763.0000,5.3028,1.0077,4.6662,0.0000,15.0305
"ORD","BUF",13.5291,7175,65.5878,473.0000,5.7691,0.7271,2.8061,0.0000,13.4590
"ORD","BWI",10.0724,19387,84.7819,622.0000,3.5566,0.8103,3.4838,0.0009,8.5108
"ORD","BZN",10.2022,89,166.7416,1186.0000,22.3478,7.0435,11.0870,0.0000,20.2609
"ORD","CID",-0.3810,21,34.5238,196.0000,NULL,NULL,NULL,NULL,NULL
"ORD","CLE",12.3999,10597,49.4790,316.0000,4.2187,0.7358,3.8231,0.0000,10.0629
"ORD","CLT",9.8855,8721,85.4483,599.0000,4.2755,0.5016,3.5437,0.0000,7.3795
"ORD","CMH",10.7629,10377,47.3181,296.0000,3.5993,0.6102,3.1884,0.0000,8.9637
"ORD","CVG",8.5252,10156,48.5328,264.0000,2.2034,0.4045,3.1821,0.0000,7.7576
"ORD","DAY",14.7399,3825,41.2972,240.0000,5.4752,0.7069,3.5985,0.0000,10.5011
"ORD","DCA",9.8353,45056,82.5124,612.0000,3.4898,0.8111,4.0762,0.0006,7.8969
"ORD","DEN",12.0861,39244,126.2974,888.0000,5.0309,1.1509,3.9805,0.0008,7.8275
"ORD","DFW",11.8509,50178,116.5323,802.0000,4.0916,1.5614,4.7904,0.0023,8.3915
"ORD","DSM",15.4870,6009,49.6455,299.0000,5.2461,0.6679,2.7893,0.0000,13.6747
"ORD","DTW",12.0377,23475,48.5832,235.0000,4.3868,0.8941,3.5112,0.0000,8.9620
"ORD","EGE",16.9811,1100,143.3519,1007.0000,7.3837,3.1419,4.8445,0.0000,7.9648
"ORD","ELP",13.5616,4489,166.6534,1236.0000,4.1301,1.7684,4.8621,0.0000,9.7826
"ORD","EWR",21.0359,32673,97.8145,719.0000,2.9524,0.7988,15.6692,0.0008,8.6904
"ORD","FLL",10.5071,12860,154.5094,1182.0000,4.2688,1.0713,3.8743,0.0009,7.2626
"ORD","GEG",26.8251,2178,209.4200,1498.0000,7.5530,1.1397,4.8227,0.0000,20.4921
"ORD","GRR",15.3302,6909,27.2299,137.0000,5.2894,0.9214,2.8666,0.0000,12.3860
"ORD","GSO",14.8147,3685,82.6968,590.0000,4.5564,0.8378,3.5190,0.0000,12.4836
"ORD","GUC",16.0000,2,152.0000,1031.0000,14.0000,0.0000,2.0000,0.0000,0.0000
"ORD","HDN",10.0642,671,145.5810,1009.0000,6.0347,3.3417,4.1988,0.0000,4.6853
"ORD","HNL",5.4145,4251,516.9718,4243.0000,6.7468,1.4177,5.1522,0.0093,0.6853
"ORD","HPN",11.9828,3777,99.4294,738.0000,3.2192,1.6005,5.1195,0.0000,8.9430
"ORD","IAD",11.1307,18148,79.6010,589.0000,5.3303,0.8040,3.9358,0.0000,7.5077
"ORD","IAH",10.5879,14769,134.9382,925.0000,3.9729,0.8964,5.0659,0.0018,8.6268
"ORD","ICT",26.8554,599,88.4161,588.0000,9.8417,1.5462,3.2164,0.0000,31.7098
"ORD","IND",12.8089,11715,33.2509,177.0000,3.6759,1.0143,3.6112,0.0041,9.4312
"ORD","JAC",18.2217,1473,160.6498,1162.0000,10.5000,2.9534,5.0000,0.0000,10.0979
"ORD","JAX",17.6440,1167,113.4865,865.0000,11.0016,2.1867,6.2358,0.0000,19.1582
"ORD","JFK",18.7702,4221,126.9537,740.0000,5.0376,0.7105,17.0479,0.0206,19.8092
"ORD","LAS",13.1821,26560,204.5576,1515.0000,5.5507,1.1659,5.3075,0.0000,7.8892
"ORD","LAX",11.6917,49875,229.7275,1745.0000,5.6876,1.2062,4.8980,0.0091,6.8455
"ORD","LGA",17.2320,67213,100.3873,733.0000,2.8589,0.7895,13.6404,0.0005,7.3335
"ORD","LGB",15.2711,1438,179.9066,1735.0000,6.9338,0.0922,8.9035,0.0564,15.1779
"ORD","MCI",12.2975,23075,63.7181,403.0000,3.9537,1.1252,3.2879,0.0000,10.0477
"ORD","MCO",11.8349,23305,129.2668,1005.0000,5.4043,1.1729,4.1604,0.0000,7.7751
"ORD","MDT",13.6635,3289,77.6165,594.0000,4.6415,0.7812,4.1540,0.0000,14.2905
"ORD","MHT",11.4152,7280,103.4652,843.0000,3.9951,0.5731,3.5610,0.0000,9.3846
"ORD","MIA",14.1263,22351,151.9514,1197.0000,6.4162,1.9590,5.1603,0.0107,6.8785
"ORD","MSP",12.0741,42115,62.8800,334.0000,3.8633,0.9186,4.1791,0.0020,9.2040
"ORD","MSY",11.5219,9639,113.6836,837.0000,4.7752,0.9958,3.6054,0.0134,9.7500
"ORD","MTJ",10.5521,98,159.2396,1081.0000,6.5479,2.3288,6.8767,0.0000,2.9589
"ORD","OAK",15.4607,5321,244.8941,1835.0000,4.3423,0.6479,4.4831,0.0000,10.0145
"ORD","OGG",4.2969,2439,511.1536,4184.0000,6.5822,0.9245,4.9196,0.0000,0.4919
"ORD","OKC",1.8125,16,99.1875,693.0000,NULL,NULL,NULL,NULL,NULL
"ORD","OMA",11.6850,9924,65.2721,416.0000,4.4965,0.6754,2.6589,0.0000,10.9928
"ORD","ONT",NULL,1,NULL,1700.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"ORD","PBI",17.8293,4569,146.7718,1144.0000,5.5793,2.0158,4.6247,0.0000,12.9151
"ORD","PDX",14.3423,17387,234.8556,1739.0000,5.1673,1.0544,4.5555,0.0000,9.3361
"ORD","PHL",15.5925,33530,92.8078,678.0000,3.5917,0.7984,9.5585,0.0004,8.7858
"ORD","PHX",13.7089,22712,196.6166,1440.0000,5.5209,1.2745,4.7835,0.0027,8.9029
"ORD","PIT",11.8016,11139,58.7464,412.0000,4.5745,0.5344,3.0359,0.0000,10.4460
"ORD","PSP",9.1024,3332,224.4670,1652.0000,4.2943,1.8806,4.6517,0.0000,5.0285
"ORD","PVD",11.2103,13011,106.3617,849.0000,3.8241,0.8212,3.4109,0.0003,9.0305
"ORD","RAP",9.7281,114,111.8158,780.0000,14.8438,5.4688,16.0313,0.0000,13.3750
"ORD","RDU",14.0494,11704,88.8230,647.0000,4.3989,1.2432,4.2882,0.0000,11.4796
"ORD","RIC",11.7946,4383,88.9761,642.0000,4.7268,0.8001,3.4766,0.0000,10.6515
"ORD","RNO",10.0405,3845,220.3600,1671.0000,5.1510,1.5568,4.0841,0.0072,5.1676
"ORD","ROC",15.1940,6390,71.1356,528.0000,5.4098,0.6358,3.2653,0.0000,13.7586
"ORD","RST",8.4592,981,46.5843,268.0000,3.3464,1.8577,1.9869,0.0000,7.7753
"ORD","RSW",10.4420,5467,143.4616,1120.0000,3.8980,1.4297,4.0690,0.0000,7.4293
"ORD","SAN",12.3861,23771,230.2253,1723.0000,4.9944,1.2457,4.7240,0.0000,8.1422
"ORD","SAT",11.4976,11901,147.2782,1041.0000,4.1004,1.0469,3.8363,0.0000,8.9695
"ORD","SEA",13.7902,25252,236.0184,1721.0000,5.2332,1.2951,4.6659,0.0009,9.2311
"ORD","SFO",12.0585,36139,243.6999,1846.0000,5.5334,1.1313,6.1735,0.0036,6.7210
"ORD","SJC",11.8814,14709,245.7086,1829.0000,4.3173,1.1837,4.4687,0.0012,9.0748
"ORD","SJU",10.0094,8839,250.2472,2072.0000,6.0519,1.4031,4.1534,0.0000,4.0235
"ORD","SLC",12.7774,16793,179.9076,1249.0000,4.6436,0.9959,4.4924,0.0038,8.4734
"ORD","SMF",15.1917,9463,237.2098,1781.0000,5.2712,0.6848,4.4110,0.0000,10.1770
"ORD","SNA",9.9249,18751,229.1016,1726.0000,4.6194,0.9862,4.4422,0.0010,6.1305
"ORD","STL",9.9456,27631,46.6241,258.0000,3.4813,1.1938,3.0894,0.0053,9.2290
"ORD","STT",5.1086,443,256.0814,2116.0000,3.7787,0.6695,3.1983,0.0000,2.5517
"ORD","SYR",12.8333,12,80.9167,607.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"ORD","TPA",13.2040,15950,130.4535,1012.0000,4.7868,1.1651,4.0621,0.0000,9.4643
"ORD","TUL",12.5692,7150,87.0805,585.0000,4.3511,1.4261,3.5883,0.0000,9.7687
"ORD","TUS",13.0188,7465,195.9435,1437.0000,3.9782,1.3849,4.7131,0.0000,8.9327
"ORD","XNA",8.8749,2641,80.1998,522.0000,2.5087,0.7603,3.0708,0.0000,7.3523
"PHX","ABQ",6.0083,22780,46.4367,328.0000,2.5976,0.0520,0.7711,0.0209,4.9811
"PHX","ATL",1.3419,12389,187.0136,1587.0000,2.7764,0.2273,3.3263,0.0078,2.1420
"PHX","AUS",4.6037,8285,109.5113,872.0000,2.9769,0.0738,0.8917,0.0281,5.4235
"PHX","BHM",8.1927,2192,169.1826,1455.0000,3.7943,0.0253,0.9247,0.0155,8.3621
"PHX","BNA",1.5111,7714,170.1202,1448.0000,3.0389,0.0592,0.8412,0.0125,4.1301
"PHX","BOI",6.0000,2,114.0000,735.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"PHX","BOS",-8.3081,399,425.1288,2300.0000,0.1055,0.0804,0.5477,0.0000,6.2161
"PHX","BUF",-1.4488,2191,218.0789,1912.0000,2.4743,0.0468,1.4556,0.0556,1.6444
"PHX","BUR",5.2479,17552,66.9182,369.0000,2.4409,0.1568,0.8125,0.0160,5.5898
"PHX","BWI",-1.1168,10271,231.1549,1999.0000,2.1647,0.2141,1.7696,0.0388,2.7418
"PHX","CLE",0.0586,1215,203.8216,1737.0000,2.8684,0.0134,1.5432,0.0562,1.0059
"PHX","CMH",1.4863,2203,193.9166,1671.0000,2.6010,0.0249,0.9849,0.0197,3.6833
"PHX","CVG",-2.2825,5129,184.9362,1569.0000,1.7360,0.0906,1.3711,0.0000,1.7906
"PHX","DEN",5.1433,21686,81.8189,602.0000,2.7116,0.1774,1.6281,0.0141,6.3266
"PHX","DFW",5.6879,20996,111.5543,868.0000,2.8875,0.4522,2.9984,0.0060,5.7843
"PHX","DTW",-0.5330,3772,200.8692,1671.0000,3.5520,0.0436,1.1698,0.0338,4.1004
"PHX","ELP",7.3945,15037,50.0322,347.0000,3.1584,0.0431,0.8085,0.0553,5.9455
"PHX","HOU",4.8213,11076,127.0354,1020.0000,2.9868,0.1456,1.1665,0.0268,5.3064
"PHX","IAD",-1.3703,2327,228.0802,1956.0000,3.3944,0.1134,3.1150,0.0000,2.3999
"PHX","IND",2.6120,3743,176.3609,1489.0000,3.7676,0.0228,1.1183,0.0129,4.3845
"PHX","JFK",13.6749,4307,318.2925,2153.0000,3.1653,0.1528,10.7675,0.0328,9.5623
"PHX","LAS",7.1270,38840,44.6248,256.0000,3.0119,0.4679,2.2139,0.0273,4.6533
"PHX","LAX",6.6386,28912,58.8804,370.0000,3.0279,0.0943,1.5669,0.0360,5.4317
"PHX","LBB",-5.0000,2,85.0000,588.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"PHX","LIT",8.1640,2061,135.4190,1136.0000,4.9415,0.1239,0.9094,0.0097,7.9903
"PHX","MCI",3.2121,7931,128.7218,1044.0000,3.6278,0.0859,0.8317,0.0196,4.8691
"PHX","MCO",1.0262,2236,217.0966,1848.0000,2.6991,0.0579,1.8270,0.0735,2.4392
"PHX","MDW",0.7668,13953,172.9756,1444.0000,2.4493,0.4873,1.6785,0.0263,4.1368
"PHX","MHT",-2.6247,493,254.7363,2279.0000,5.2435,2.1658,5.2332,0.0000,4.3316
"PHX","MIA",-1.9814,384,223.9867,1972.0000,25.7460,0.0000,12.4444,0.0000,0.0000
"PHX","MSY",2.2744,2896,155.1212,1301.0000,3.2856,0.0532,0.9121,0.0312,3.7540
"PHX","OAK",3.3514,14012,97.9490,646.0000,2.8565,0.0888,0.9082,0.0263,5.2025
"PHX","OKC",5.5396,6484,103.1264,833.0000,3.3789,0.0757,0.8109,0.0187,6.3154
"PHX","OMA",4.6239,5892,128.5742,1037.0000,4.1056,0.1718,1.1458,0.0367,5.5418
"PHX","ONT",6.5763,24860,50.7257,325.0000,2.6240,0.0841,1.0008,0.0212,6.1301
"PHX","ORD",11.4854,22166,174.1202,1440.0000,2.6865,0.1570,9.7200,0.0079,6.0713
"PHX","PDX",4.8721,5677,144.5172,1009.0000,3.9533,0.0537,1.3606,0.0469,6.1552
"PHX","PHL",0.9298,2748,242.1569,2075.0000,3.4450,1.9468,4.7091,0.0167,3.8289
"PHX","PIT",-1.5397,1186,208.0008,1813.0000,2.6188,0.1171,1.5660,0.0080,3.3743
"PHX","PVD",0.6883,3921,258.3811,2277.0000,3.1264,0.1825,2.1843,0.0534,2.5442
"PHX","RDU",-1.3238,3814,220.2701,1891.0000,2.6015,0.0164,1.1128,0.0473,3.5005
"PHX","RNO",5.1731,6417,87.9578,601.0000,3.3161,0.1669,0.6985,0.0125,6.0204
"PHX","SAN",6.4167,29015,49.9451,304.0000,2.6884,0.1988,1.2449,0.0230,5.5998
"PHX","SAT",5.5992,8416,104.8939,843.0000,3.0000,0.0712,0.8181,0.0314,5.8545
"PHX","SDF",2.3120,2191,177.1806,1506.0000,3.5536,0.0284,1.5983,0.1177,4.2533
"PHX","SEA",1.4384,5770,158.6980,1107.0000,3.3284,0.2142,1.4119,0.0482,4.4022
"PHX","SFO",9.6229,10943,100.2959,651.0000,3.1934,0.1780,6.4651,0.0018,7.9910
"PHX","SJC",1.1642,11300,94.3916,621.0000,2.1345,0.0984,0.7612,0.0444,4.5973
"PHX","SLC",5.1472,19543,73.6397,507.0000,3.3551,0.1363,1.1814,0.0458,4.8995
"PHX","SMF",4.6500,13804,97.1904,647.0000,3.0286,0.0833,0.8104,0.0270,6.1029
"PHX","SNA",3.2588,14434,55.1455,338.0000,2.3608,0.1039,1.1730,0.0292,3.6372
"PHX","STL",3.2941,12336,152.4829,1262.0000,3.4748,0.0458,1.1615,0.0332,4.7031
"PHX","TPA",-2.9086,2192,209.8618,1788.0000,2.7811,0.0215,1.3432,0.0232,2.3246
"PHX","TUL",5.2450,6279,115.6493,935.0000,3.0220,0.0450,0.7425,0.0152,6.6264
"PHX","TUS",5.8919,1398,23.5816,110.0000,1.6600,0.2462,0.9431,0.0000,6.9623
